generation,best_fitness,mean_fitness,std_fitness,best_so_far,mutation_rate,run
0,18.96204993518133,20.71451314083679,0.9931342248513267,18.96204993518133,0.0,1
1,17.774165738677393,20.43559149013571,1.0971064556673258,17.774165738677393,0.2,1
2,17.774165738677393,20.291465236431517,1.046487459954076,17.774165738677393,0.2,1
3,17.49373774505092,19.793448198935952,1.0552644781366294,17.49373774505092,0.2,1
4,16.774165738677393,19.388410209446043,1.1584300360610646,16.774165738677393,0.2,1
5,16.774165738677393,18.78614536517864,0.9966483716144332,16.774165738677393,0.2,1
6,16.774165738677393,18.226209543236298,0.9556212605907243,16.774165738677393,0.2,1
7,16.257583690279024,17.794504512892654,0.8805961228741984,16.257583690279024,0.2,1
8,16.077708763999663,17.32502230878656,0.7237382724551311,16.077708763999663,0.2,1
9,16.077708763999663,17.06686414009735,0.5359760242436159,16.077708763999663,0.2,1
10,16.077708763999663,16.93505611799365,0.5493648337663593,16.077708763999663,0.2,1
11,15.81386219991853,16.67750083195323,0.4785406725542388,15.81386219991853,0.2,1
12,15.687119154832537,16.435375489684354,0.481673490962969,15.687119154832537,0.2,1
13,15.306750598570128,16.240239201766553,0.41574795995774916,15.306750598570128,0.2,1
14,15.30142828000232,16.097564045356695,0.43808027743725597,15.30142828000232,0.2,1
15,15.30142828000232,15.894733687270955,0.309541439471378,15.30142828000232,0.2,1
16,15.215339366124404,15.767791518286623,0.34182289853178965,15.215339366124404,0.2,1
17,14.555592347112503,15.685005705493698,0.5001891692729116,14.555592347112503,0.2,1
18,14.555592347112503,15.507004330984032,0.3851184100422792,14.555592347112503,0.2,1
19,14.555592347112503,15.379422962514191,0.3733470117288822,14.555592347112503,0.2,1
20,14.555592347112503,15.371823426617382,0.4280099426431035,14.555592347112503,0.2,1
21,14.555592347112503,15.219395490838258,0.33202600602282006,14.555592347112503,0.2,1
22,14.297057550292607,15.165065221124832,0.3565781796108329,14.297057550292607,0.2,1
23,14.297057550292607,15.126690577013232,0.4044703155800504,14.297057550292607,0.2,1
24,14.297057550292607,14.969590185256955,0.3758211615446569,14.297057550292607,0.2,1
25,14.297057550292607,14.855446441613985,0.46498509450324615,14.297057550292607,0.2,1
26,14.297057550292607,14.776151500141564,0.4912628099930337,14.297057550292607,0.2,1
27,14.297057550292607,14.635865565567244,0.3866171343016347,14.297057550292607,0.2,1
28,14.11058907144937,14.601611003240556,0.4411166852806836,14.11058907144937,0.2,1
29,13.987475490101847,14.516843257525403,0.42173400434497715,13.987475490101847,0.2,1
30,13.987475490101847,14.493842118498492,0.4264225506475265,13.987475490101847,0.2,1
31,13.515167380558044,14.381477249607347,0.3535747093461857,13.515167380558044,0.2,1
32,13.515167380558044,14.393208710185506,0.3819174251707958,13.515167380558044,0.2,1
33,13.515167380558044,14.385024376976066,0.4704830876687436,13.515167380558044,0.2,1
34,13.515167380558044,14.25022309651724,0.3171253819775358,13.515167380558044,0.2,1
35,13.515167380558044,14.185948639156297,0.37143689414101516,13.515167380558044,0.2,1
36,13.515167380558044,14.055820427302038,0.326139654806592,13.515167380558044,0.2,1
37,13.515167380558044,13.998477596360233,0.26139877540347217,13.515167380558044,0.2,1
38,13.515167380558044,13.94710881041191,0.2872265356057539,13.515167380558044,0.2,1
39,13.307878402833891,13.943724718685296,0.4512674720276163,13.307878402833891,0.2,1
40,13.307878402833891,13.85227498020447,0.4535739004202219,13.307878402833891,0.2,1
41,13.307878402833891,13.831600795803704,0.49842808365367536,13.307878402833891,0.2,1
42,13.307878402833891,13.82866171043536,0.5426900460187843,13.307878402833891,0.2,1
43,13.14355957741627,13.730840360411563,0.47436885261776146,13.14355957741627,0.2,1
44,13.14355957741627,13.589431150312723,0.33365169056088073,13.14355957741627,0.2,1
45,13.14355957741627,13.580977935656163,0.3127880239672207,13.14355957741627,0.2,1
46,13.14355957741627,13.622956861721596,0.39762480313594095,13.14355957741627,0.2,1
47,13.14355957741627,13.541936638173754,0.31114915476152155,13.14355957741627,0.2,1
48,13.14355957741627,13.55247029633735,0.34554115536269175,13.14355957741627,0.2,1
49,13.14355957741627,13.593051324932972,0.5043851937637541,13.14355957741627,0.2,1
50,13.14355957741627,13.468502010360236,0.3309423213033538,13.14355957741627,0.2,1
51,13.14355957741627,13.404377566735242,0.2863760068622346,13.14355957741627,0.2,1
52,13.14355957741627,13.442030715432093,0.45076496497656054,13.14355957741627,0.2,1
53,13.14355957741627,13.391084090551772,0.4121097783709372,13.14355957741627,0.2,1
54,13.14355957741627,13.42048649287635,0.5091113385923923,13.14355957741627,0.2,1
55,13.14355957741627,13.368482903383192,0.39355390066118084,13.14355957741627,0.2,1
56,13.14355957741627,13.368356483809414,0.4648150589994154,13.14355957741627,0.2,1
57,13.14355957741627,13.444161042574512,0.4978605453082945,13.14355957741627,0.2,1
58,13.14355957741627,13.363441378932725,0.4037499106578418,13.14355957741627,0.2,1
59,13.14355957741627,13.38200801509273,0.4940718801757871,13.14355957741627,0.2,1
60,13.14355957741627,13.300592490584677,0.37454055571113765,13.14355957741627,0.2,1
61,12.840967364599086,13.378108555780939,0.47764389672557733,12.840967364599086,0.2,1
62,12.840967364599086,13.279673474685161,0.4379501008037433,12.840967364599086,0.2,1
63,12.840967364599086,13.25153073915004,0.3436104062037334,12.840967364599086,0.2,1
64,12.840967364599086,13.290897968877758,0.49321414831110943,12.840967364599086,0.2,1
65,12.66770782520313,13.29120309169879,0.48554693456471204,12.66770782520313,0.2,1
66,12.66770782520313,13.30955221401379,0.5109430330865309,12.66770782520313,0.2,1
67,12.66770782520313,13.229082367492621,0.4637464522881606,12.66770782520313,0.2,1
68,12.66770782520313,13.219504966905738,0.7070604294118709,12.66770782520313,0.2,1
69,12.66770782520313,13.230959673620827,0.7889308032410685,12.66770782520313,0.2,1
70,12.66770782520313,13.160935489108203,0.7469420860326204,12.66770782520313,0.2,1
71,12.66770782520313,13.100719009405445,0.48345980552628814,12.66770782520313,0.2,1
72,12.66770782520313,12.967585091592309,0.4422957465365717,12.66770782520313,0.2,1
73,12.66770782520313,12.930325801958874,0.41097631691953396,12.66770782520313,0.2,1
74,12.66770782520313,13.003985997175516,0.4999144026753072,12.66770782520313,0.2,1
75,12.66770782520313,13.08298541419369,0.6282181327440887,12.66770782520313,0.2,1
76,12.66770782520313,12.916814641082851,0.4805059033969734,12.66770782520313,0.2,1
77,12.66770782520313,12.861838841443378,0.39265014871012055,12.66770782520313,0.2,1
78,12.66770782520313,12.854891994955102,0.3810103288222875,12.66770782520313,0.2,1
79,12.66770782520313,12.86824910107669,0.37854651774845105,12.66770782520313,0.2,1
80,12.66770782520313,12.812908583047555,0.34007482193522137,12.66770782520313,0.2,1
81,12.66770782520313,12.913558463705266,0.4357933695432324,12.66770782520313,0.2,1
82,12.66770782520313,12.944816130659587,0.47932738905759614,12.66770782520313,0.2,1
83,12.66770782520313,12.84404263215175,0.39533848224595075,12.66770782520313,0.2,1
84,12.66770782520313,12.886294096610614,0.46955822504092304,12.66770782520313,0.2,1
85,12.66770782520313,12.85501596583636,0.4373494754797639,12.66770782520313,0.2,1
86,12.66770782520313,12.822805275879086,0.4714221137198907,12.66770782520313,0.2,1
87,12.66770782520313,12.836321000242288,0.4946550767997805,12.66770782520313,0.2,1
88,12.66770782520313,12.771615151087504,0.29514783441053466,12.66770782520313,0.2,1
89,12.66770782520313,12.85788505465439,0.5229808445410217,12.66770782520313,0.2,1
90,12.66770782520313,12.763511035088486,0.24610633458440564,12.66770782520313,0.2,1
91,12.66770782520313,12.821147682307164,0.37309213595497315,12.66770782520313,0.2,1
92,12.66770782520313,12.856295128453558,0.3338969151350207,12.66770782520313,0.2,1
93,12.66770782520313,12.925715305108264,0.46761218554452233,12.66770782520313,0.2,1
94,12.66770782520313,12.945559142677372,0.5177584287138224,12.66770782520313,0.2,1
95,12.66770782520313,12.799223410045643,0.33894532190446197,12.66770782520313,0.2,1
96,12.66770782520313,12.879092978959305,0.5168683298976094,12.66770782520313,0.2,1
97,12.66770782520313,12.82555632293351,0.3750314393918412,12.66770782520313,0.2,1
98,12.627361849549569,12.834534398490662,0.3952794330451664,12.627361849549569,0.2,1
99,12.627361849549569,12.875932218728751,0.44650388075547276,12.627361849549569,0.2,1
100,12.627361849549569,12.874379066590752,0.4148957041458454,12.627361849549569,0.2,1
0,18.63527000944073,20.957018888430053,1.1829269380713485,18.63527000944073,0.0,2
1,18.414213562373096,20.683079415462153,1.2772499890092575,18.414213562373096,0.2,2
2,18.414213562373096,20.45066334045432,1.2926255069656665,18.414213562373096,0.2,2
3,18.414213562373096,19.971793698052636,1.2227413190763163,18.414213562373096,0.2,2
4,17.62074368738204,19.354663771486468,0.9834137486245276,17.62074368738204,0.2,2
5,17.615587038162705,18.830784564748324,0.7234435183480159,17.615587038162705,0.2,2
6,16.13907194296653,18.217195168061032,0.7361268519405082,16.13907194296653,0.2,2
7,15.518695387886217,17.785825447710266,0.8093923643606782,15.518695387886217,0.2,2
8,15.518695387886217,17.375420695711668,0.7558295941428671,15.518695387886217,0.2,2
9,15.518695387886217,17.053448787801337,0.8555696886914991,15.518695387886217,0.2,2
10,15.356349099818896,16.62102687557427,0.6610314239488602,15.356349099818896,0.2,2
11,15.356349099818896,16.326031229789486,0.5672555179896444,15.356349099818896,0.2,2
12,15.356349099818896,16.181081564344126,0.5730419555918235,15.356349099818896,0.2,2
13,15.22574776766556,16.009561655327694,0.6337552942920853,15.22574776766556,0.2,2
14,15.22574776766556,15.810772167964158,0.4600052330374831,15.22574776766556,0.2,2
15,15.188689042296101,15.614070911007254,0.2828909232102247,15.188689042296101,0.2,2
16,15.188689042296101,15.607855980468768,0.31287753219780085,15.188689042296101,0.2,2
17,15.022327839240491,15.507101840261472,0.3255121964354661,15.022327839240491,0.2,2
18,15.022327839240491,15.444577937164059,0.31305042680116335,15.022327839240491,0.2,2
19,14.91916017074176,15.399606480195017,0.31613558855342055,14.91916017074176,0.2,2
20,14.91916017074176,15.306818687693937,0.3340662810630358,14.91916017074176,0.2,2
21,14.809243436828814,15.181899354918349,0.19936951351176194,14.809243436828814,0.2,2
22,14.357641145488902,15.17340751918068,0.276588091469211,14.357641145488902,0.2,2
23,14.357641145488902,15.102946356508172,0.2651035034327111,14.357641145488902,0.2,2
24,14.357641145488902,15.029661225215385,0.29171011840767164,14.357641145488902,0.2,2
25,14.357641145488902,14.962087287229766,0.2878422777616766,14.357641145488902,0.2,2
26,14.357641145488902,14.883091654212473,0.30763317280227614,14.357641145488902,0.2,2
27,14.357641145488902,14.797864525526315,0.37524086014745445,14.357641145488902,0.2,2
28,14.357641145488902,14.749031904849742,0.40796935530816586,14.357641145488902,0.2,2
